
Tue Feb 22 14:49:16 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 14:50:03 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 14:51:43 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 14:53:25 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 14:54:01 2022, 127.0.0.1,/advertisements, POST
Tue Feb 22 14:56:46 2022, 127.0.0.1,/advertisements, POST
Tue Feb 22 14:57:05 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 14:57:39 2022, 127.0.0.1,/advertisements, POST
Tue Feb 22 15:02:12 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:02:13 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:02:14 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:02:15 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:02:15 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:02:16 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:02:16 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:02:17 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:02:27 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:02:28 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:02:29 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:02:29 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:04:19 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:04:20 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:04:28 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:04:29 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:04:51 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:04:52 2022, 127.0.0.1,/advertisements, GET
Tue Feb 22 15:49:37 2022, 127.0.0.1,/, GET
Tue Feb 22 15:49:42 2022, 127.0.0.1,/contactstv, GET
Tue Feb 22 15:57:39 2022, 127.0.0.1,/tv_contacts, GET
Tue Feb 22 15:57:41 2022, 127.0.0.1,/tv_contacts, GET
Tue Feb 22 15:57:54 2022, 127.0.0.1,/tv_about, GET
Tue Feb 22 15:58:11 2022, 127.0.0.1,/tv_about/, GET
Tue Feb 22 15:58:13 2022, 127.0.0.1,/tv_about/, GET
Tue Feb 22 15:58:17 2022, 127.0.0.1,/tv_about/, GET
Tue Feb 22 15:58:53 2022, 127.0.0.1,/, GET
Tue Feb 22 15:59:04 2022, 127.0.0.1,/, GET
Tue Feb 22 15:59:42 2022, 127.0.0.1,/, GET
Tue Feb 22 15:59:51 2022, 127.0.0.1,/, GET
Tue Feb 22 15:59:58 2022, 127.0.0.1,/, GET
Tue Feb 22 16:00:06 2022, 127.0.0.1,/, GET
Tue Feb 22 16:00:13 2022, 127.0.0.1,/, GET
Tue Feb 22 16:00:28 2022, 127.0.0.1,/tv_contacts/, GET
Tue Feb 22 16:00:47 2022, 127.0.0.1,/tv_contacts/, GET
Tue Feb 22 16:09:53 2022, 127.0.0.1,/tv_contacts/, GET
Tue Feb 22 16:11:02 2022, 127.0.0.1,/tv_contacts/, GET
Tue Feb 22 16:11:53 2022, 127.0.0.1,/tv_contacts/, GET
Tue Feb 22 16:12:08 2022, 127.0.0.1,/tv_contacts/, GET
Tue Feb 22 16:12:27 2022, 127.0.0.1,/tv_contacts/, GET
Tue Feb 22 16:13:24 2022, 127.0.0.1,/tv_contacts/, GET
Tue Feb 22 16:13:35 2022, 127.0.0.1,/tv_contacts/, GET
Tue Feb 22 16:19:36 2022, 127.0.0.1,/tv_about/, GET
Tue Feb 22 16:19:37 2022, 127.0.0.1,/tv_about/, GET
Tue Feb 22 17:18:46 2022, 127.0.0.1,/, GET
Tue Feb 22 17:30:56 2022, 127.0.0.1,/, GET
Tue Feb 22 17:32:18 2022, 127.0.0.1,/, GET
Tue Feb 22 17:44:48 2022, 127.0.0.1,/, GET
Tue Feb 22 17:46:02 2022, 127.0.0.1,/, GET
Tue Feb 22 17:46:12 2022, 127.0.0.1,/, GET
Tue Feb 22 17:49:47 2022, 127.0.0.1,/, GET
Tue Feb 22 17:52:26 2022, 127.0.0.1,/, GET
Tue Feb 22 17:54:48 2022, 127.0.0.1,/, GET
Tue Feb 22 17:56:25 2022, 127.0.0.1,/, GET
Tue Feb 22 18:02:54 2022, 127.0.0.1,/, GET
Tue Feb 22 18:05:22 2022, 127.0.0.1,/, GET
Tue Feb 22 18:06:43 2022, 127.0.0.1,/, GET
Tue Feb 22 18:12:38 2022, 127.0.0.1,/, GET
Tue Feb 22 18:12:54 2022, 127.0.0.1,/, GET
Tue Feb 22 18:13:05 2022, 127.0.0.1,/, GET
Tue Feb 22 18:13:13 2022, 127.0.0.1,/, GET
Tue Feb 22 18:14:19 2022, 127.0.0.1,/, GET
Tue Feb 22 18:14:28 2022, 127.0.0.1,/, GET
Tue Feb 22 18:14:30 2022, 127.0.0.1,/, GET
